id,v4,v5,v6,Grupos
1.0,721.2,27.3,0.0047929881765052,2
2.0,714.0,27.3,0.0047834409493106,2
3.0,713.5,27.2,0.0047794635244219,2
4.0,708.2,27.2,0.0047715088260817,2
5.0,704.5,27.2,0.0047569929333151,2
6.0,701.0,27.2,0.0047569929333151,2
7.0,701.7,27.2,0.0047569929333151,2
8.0,699.0,27.2,0.0047569929333151,2
9.0,689.3,27.2,0.0047569929333151,2
10.0,688.0,27.2,0.0047453507196665,2
11.0,690.2,27.1,0.0047409518969426,2
12.0,691.0,27.1,0.0047393707305206,2
13.0,683.5,27.2,0.0047511187556095,2
14.0,687.5,27.1,0.0047337317970825,2
15.0,686.0,27.1,0.0047149421459047,2
16.0,680.5,27.1,0.0047149421459047,2
17.0,681.5,27.2,0.0047280779496687,2
18.0,685.0,27.3,0.0047279513717807,2
19.0,685.0,27.4,0.0047454083970941,2
20.0,689.0,27.4,0.00472950615591,2
21.0,689.5,27.4,0.00472950615591,2
22.0,689.0,27.4,0.00472950615591,2
23.0,691.0,27.4,0.0047390755147466,2
24.0,688.0,27.5,0.0047486451658114,2
25.0,689.5,27.5,0.0047486451658114,2
26.0,689.0,27.4,0.0047102240468062,2
27.0,685.7,27.5,0.0047197349991495,2
28.0,687.0,27.5,0.0047197349991495,2
29.0,688.0,27.5,0.0047197349991495,2
30.0,670.0,27.5,0.0047067761580489,2
31.0,668.7,27.5,0.0046875430838439,2
32.0,670.0,27.5,0.0046938487141081,2
33.0,667.0,27.5,0.0046938487141081,2
34.0,664.5,27.4,0.0046717077646175,2
35.0,670.0,27.6,0.0047110465325231,2
36.0,670.3,27.4,0.0046526994586977,2
37.0,672.0,27.4,0.0046464328065348,2
38.0,658.0,27.4,0.0046407359587843,2
39.0,660.5,27.4,0.0046558328317807,2
40.0,658.0,27.4,0.0046526994586977,2
41.0,655.0,27.4,0.0046558328317807,2
42.0,654.2,27.4,0.0046558328317807,2
43.0,648.0,27.4,0.0046464328065348,2
44.0,648.7,27.3,0.0046067632029783,2
45.0,646.0,27.4,0.004627429032145,2
46.0,646.0,27.5,0.0046367715666975,2
47.0,641.5,27.4,0.004627429032145,2
48.0,639.0,27.3,0.0045702120879911,2
49.0,640.0,27.5,0.0046367715666975,2
50.0,630.5,27.3,0.0045786471451397,2
51.0,629.3,27.4,0.0045814588813251,2
52.0,632.0,27.5,0.0046056408542605,2
53.0,636.5,27.5,0.0046056408542605,2
54.0,627.5,27.5,0.0046056408542605,2
55.0,626.0,27.4,0.0045870824294015,2
56.0,625.5,27.5,0.0046056408542605,2
57.0,623.5,27.4,0.0045730503494798,2
58.0,624.7,27.5,0.0045994545904935,2
59.0,622.0,27.4,0.0045870824294015,2
60.0,621.0,27.4,0.0045590561485227,2
61.0,626.5,27.4,0.0045730503494798,2
62.0,622.0,27.4,0.0045590561485227,2
63.0,620.0,27.4,0.0045870824294015,2
64.0,621.5,27.4,0.0045590561485227,2
65.0,616.3,27.4,0.0045534672090426,2
66.0,609.0,27.3,0.0045506727766926,2
67.0,614.0,27.4,0.0045590561485227,2
68.0,613.5,27.3,0.0045506727766926,2
69.0,611.0,27.3,0.0045506727766926,2
70.0,612.0,27.4,0.0045590561485227,2
71.0,608.0,27.3,0.0045422896291988,2
72.0,605.5,27.3,0.0045422896291988,2
73.0,608.5,27.3,0.0045402135802302,2
74.0,608.5,27.3,0.0045172881934999,2
75.0,602.5,27.3,0.0045297736958595,2
76.0,598.0,27.3,0.0045172881934999,2
77.0,595.0,27.3,0.0045172881934999,2
78.0,591.0,27.3,0.0045172881934999,2
79.0,591.0,27.2,0.0045222499936474,2
80.0,595.0,27.2,0.0045022827427646,2
81.0,594.3,27.3,0.0045172881934999,2
82.0,593.5,27.3,0.0045172881934999,2
83.0,592.0,27.3,0.0045172881934999,2
84.0,586.5,27.2,0.0044959713579516,2
85.0,586.0,27.2,0.0045022827427646,2
86.0,586.0,27.2,0.0044959713579516,2
87.0,584.5,27.2,0.0045097853782839,2
88.0,584.5,27.2,0.0044821946765548,2
89.0,585.5,27.2,0.0044747382697237,2
90.0,584.7,27.2,0.0044839031982145,2
91.0,577.0,27.2,0.0045022827427646,2
92.0,580.0,27.2,0.0044747382697237,2
93.0,582.0,27.2,0.0044816104151714,2
